Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 8: Mountain,Region 4: West,11164173,28.154872743372927,23.925027675583316,52.07990041895625,22.355145911837802
2012,Division 8: Mountain,Region 4: West,11299142,28.070085976439625,24.24698961213161,52.317075588571235,21.3537754636591
2013,Division 8: Mountain,Region 4: West,11299142,28.07790165837371,25.2854061042865,53.36330776266022,23.741264584514468
2014,Division 8: Mountain,Region 4: West,11594884,28.83067913400427,26.067689137726603,54.89836827173088,21.332306067055093
2015,Division 8: Mountain,Region 4: West,11772164,30.164966092895074,24.902368154232306,55.06733424712738,22.876576982787533
2016,Division 8: Mountain,Region 4: West,11913185,28.9812695177654,25.723243397966204,54.7045129157316,21.867213981819305
2017,Division 8: Mountain,Region 4: West,12061541,29.36959072642542,26.614942195197116,55.98453292162253,23.9105557158907
2018,Division 8: Mountain,Region 4: West,12258464,29.69433997603615,27.42728566156412,57.12162563760027,22.73112876131953
2019,Division 8: Mountain,Region 4: West,12405731,29.468797485613702,28.9694712871011,58.43826877271481,23.186307941063692
2020,Division 8: Mountain,Region 4: West,12252495,29.86057207940097,28.45123442205037,58.311806501451336,22.161767721594668
2021,Division 8: Mountain,Region 4: West,12554005,30.818801521904764,30.33982740965931,61.158628931564074,23.06715313559298
2022,Division 8: Mountain,Region 4: West,12669166,29.284489957744654,31.30805760221312,60.592547559957765,23.273293514348143
2023,Division 8: Mountain,Region 4: West,12783493,29.812228465255934,30.192443614589536,60.00467207984547,22.611280453628755
