"Notes","Census Division","Census Division Code","Year","Year Code","Month Prenatal Care Began","Month Prenatal Care Began Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Not Reported","98",134720
,"Division 1: New England","CENS-D1","2011","2011","Not Reported","98",134111
,"Division 1: New England","CENS-D1","2012","2012","Not Reported","98",60263
,"Division 1: New England","CENS-D1","2013","2013","Not Reported","98",59670
,"Division 1: New England","CENS-D1","2014","2014","Not Reported","98",47108
,"Division 1: New England","CENS-D1","2015","2015","Not Reported","98",35746
,"Division 1: New England","CENS-D1","2016","2016","Not Reported","98",0
,"Division 1: New England","CENS-D1","2017","2017","Not Reported","98",0
,"Division 1: New England","CENS-D1","2018","2018","Not Reported","98",0
,"Division 1: New England","CENS-D1","2019","2019","Not Reported","98",0
,"Division 1: New England","CENS-D1","2020","2020","Not Reported","98",0
,"Division 1: New England","CENS-D1","2021","2021","Not Reported","98",0
,"Division 1: New England","CENS-D1","2022","2022","Not Reported","98",0
,"Division 1: New England","CENS-D1","2023","2023","Not Reported","98",0
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Not Reported","98",106922
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Not Reported","98",105883
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Not Reported","98",104230
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Not Reported","98",102575
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Not Reported","98",103305
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Not Reported","98",103127
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Not Reported","98",0
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Not Reported","98",0
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Not Reported","98",0
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Not Reported","98",0
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Not Reported","98",0
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Not Reported","98",0
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Not Reported","98",0
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2010","2010","Not Reported","98",68487
,"Division 3: East North Central","CENS-D3","2011","2011","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2012","2012","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2013","2013","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2014","2014","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2015","2015","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2016","2016","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2017","2017","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2018","2018","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2019","2019","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2020","2020","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2021","2021","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2022","2022","Not Reported","98",0
,"Division 3: East North Central","CENS-D3","2023","2023","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2010","2010","Not Reported","98",68610
,"Division 4: West North Central","CENS-D4","2011","2011","Not Reported","98",68409
,"Division 4: West North Central","CENS-D4","2012","2012","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2013","2013","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2014","2014","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2015","2015","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2016","2016","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2017","2017","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2018","2018","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2019","2019","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2020","2020","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2021","2021","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2022","2022","Not Reported","98",0
,"Division 4: West North Central","CENS-D4","2023","2023","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2010","2010","Not Reported","98",245822
,"Division 5: South Atlantic","CENS-D5","2011","2011","Not Reported","98",123369
,"Division 5: South Atlantic","CENS-D5","2012","2012","Not Reported","98",123840
,"Division 5: South Atlantic","CENS-D5","2013","2013","Not Reported","98",20825
,"Division 5: South Atlantic","CENS-D5","2014","2014","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2015","2015","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2016","2016","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2017","2017","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2018","2018","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2019","2019","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2020","2020","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2021","2021","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2022","2022","Not Reported","98",0
,"Division 5: South Atlantic","CENS-D5","2023","2023","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2010","2010","Not Reported","98",100086
,"Division 6: East South Central","CENS-D6","2011","2011","Not Reported","98",99214
,"Division 6: East South Central","CENS-D6","2012","2012","Not Reported","98",97117
,"Division 6: East South Central","CENS-D6","2013","2013","Not Reported","98",58167
,"Division 6: East South Central","CENS-D6","2014","2014","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2015","2015","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2016","2016","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2017","2017","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2018","2018","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2019","2019","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2020","2020","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2021","2021","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2022","2022","Not Reported","98",0
,"Division 6: East South Central","CENS-D6","2023","2023","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2010","2010","Not Reported","98",100919
,"Division 7: West South Central","CENS-D7","2011","2011","Not Reported","98",38715
,"Division 7: West South Central","CENS-D7","2012","2012","Not Reported","98",38347
,"Division 7: West South Central","CENS-D7","2013","2013","Not Reported","98",37832
,"Division 7: West South Central","CENS-D7","2014","2014","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2015","2015","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2016","2016","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2017","2017","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2018","2018","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2019","2019","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2020","2020","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2021","2021","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2022","2022","Not Reported","98",0
,"Division 7: West South Central","CENS-D7","2023","2023","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2010","2010","Not Reported","98",87477
,"Division 8: Mountain","CENS-D8","2011","2011","Not Reported","98",85543
,"Division 8: Mountain","CENS-D8","2012","2012","Not Reported","98",86441
,"Division 8: Mountain","CENS-D8","2013","2013","Not Reported","98",85600
,"Division 8: Mountain","CENS-D8","2014","2014","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2015","2015","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2016","2016","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2017","2017","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2018","2018","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2019","2019","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2020","2020","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2021","2021","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2022","2022","Not Reported","98",0
,"Division 8: Mountain","CENS-D8","2023","2023","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2010","2010","Not Reported","98",30459
,"Division 9: Pacific","CENS-D9","2011","2011","Not Reported","98",30412
,"Division 9: Pacific","CENS-D9","2012","2012","Not Reported","98",30167
,"Division 9: Pacific","CENS-D9","2013","2013","Not Reported","98",18987
,"Division 9: Pacific","CENS-D9","2014","2014","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2015","2015","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2016","2016","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2017","2017","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2018","2018","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2019","2019","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2020","2020","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2021","2021","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2022","2022","Not Reported","98",0
,"Division 9: Pacific","CENS-D9","2023","2023","Not Reported","98",0
r Not Stated","99",5763
,"Division 8: Mountain","CENS-D8","2021","2021","Unknown or Not Stated","99",4395
,"Division 8: Mountain","CENS-D8","2022","2022","Unknown or Not Stated","99",5564
,"Division 8: Mountain","CENS-D8","2023","2023","Unknown or Not Stated","99",4559
,"Division 9: Pacific","CENS-D9","2010","2010","Unknown or Not Stated","99",19033
,"Division 9: Pacific","CENS-D9","2011","2011","Unknown or Not Stated","99",17591
,"Division 9: Pacific","CENS-D9","2012","2012","Unknown or Not Stated","99",18013
,"Division 9: Pacific","CENS-D9","2013","2013","Unknown or Not Stated","99",16059
,"Division 9: Pacific","CENS-D9","2014","2014","Unknown or Not Stated","99",14930
,"Division 9: Pacific","CENS-D9","2015","2015","Unknown or Not Stated","99",13313
,"Division 9: Pacific","CENS-D9","2016","2016","Unknown or Not Stated","99",13513
,"Division 9: Pacific","CENS-D9","2017","2017","Unknown or Not Stated","99",12469
,"Division 9: Pacific","CENS-D9","2018","2018","Unknown or Not Stated","99",12311
,"Division 9: Pacific","CENS-D9","2019","2019","Unknown or Not Stated","99",14058
,"Division 9: Pacific","CENS-D9","2020","2020","Unknown or Not Stated","99",15490
,"Division 9: Pacific","CENS-D9","2021","2021","Unknown or Not Stated","99",17247
,"Division 9: Pacific","CENS-D9","2022","2022","Unknown or Not Stated","99",16624
,"Division 9: Pacific","CENS-D9","2023","2023","Unknown or Not Stated","99",16096
